header_id	DOTH41b_SF_C	DOTH42b_SF_C	DOTH43b_SF_C	DOTH44b_SF_C	DOTH45b_SF_C	DOTH46b_SF_C
>sp|A0A075B6H9|LV469_HUMAN Immunoglobulin lambda variable 4-69 OS=Homo sapiens OX=9606 GN=IGLV4-69 PE=1 SV=1	36137.5	42161	NA	214431	563395	29933.9
>sp|A0A075B6I0|LV861_HUMAN Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=3 SV=7	13406900	14760200	2048760	NA	864503	NA
>sp|A0A075B6I1|LV460_HUMAN Immunoglobulin lambda variable 4-60 OS=Homo sapiens OX=9606 GN=IGLV4-60 PE=3 SV=1	NA	NA	NA	NA	165199	NA
>tr|A0A075B7B8|A0A075B7B8_HUMAN Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-12 PE=1 SV=1	1434720	823523	NA	608046	240933	1349100
>tr|A0A075B7D0|A0A075B7D0_HUMAN Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV1OR15-1 PE=1 SV=1	40787000	22400700	12236400	2292910	5819930	10592000
>sp|A0A087WSY6|KVD15_HUMAN Immunoglobulin kappa variable 3D-15 OS=Homo sapiens OX=9606 GN=IGKV3D-15 PE=3 SV=6	2666320	2868430	NA	3204700	3568570	868116
>sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1	3201320	1170720	342801	397803	137404	1564560
>tr|A0A0A0MT96|A0A0A0MT96_HUMAN Immunoglobulin kappa joining 3 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ3 PE=4 SV=1	1403210	2010110	NA	NA	NA	NA
>sp|A0A0B4J1U7|HV601_HUMAN Immunoglobulin heavy variable 6-1 OS=Homo sapiens OX=9606 GN=IGHV6-1 PE=3 SV=1	2709150	3373310	1175670	159648	686077	168221
>sp|A0A0B4J1Y8|LV949_HUMAN Immunoglobulin lambda variable 9-49 OS=Homo sapiens OX=9606 GN=IGLV9-49 PE=1 SV=1	4946600	5478940	1803820	NA	814791	NA
>sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1	NA	NA	NA	NA	808576	NA
>sp|A0A0C4DH25|KVD20_HUMAN Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	8820900	7849330	2458280	1583020	3630080	2279830
>sp|A0A0C4DH31|HV118_HUMAN Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=3 SV=1	1698220	1837820	NA	107936	158248	312845
>sp|A0A0C4DH34|HV428_HUMAN Immunoglobulin heavy variable 4-28 OS=Homo sapiens OX=9606 GN=IGHV4-28 PE=3 SV=1	16831300	NA	3616940	829065	1926520	2074970
>tr|A0A0C4DH35|A0A0C4DH35_HUMAN Immunoglobulin heavy variable 3-35 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3-35 PE=1 SV=1	294050	NA	NA	152467	1182960	358723
>sp|A0A0J9YX35|HV64D_HUMAN Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=3 SV=1	9254220	10937700	3114580	NA	2426140	1598400
>sp|A0A0J9YXX1|HV5X1_HUMAN Immunoglobulin heavy variable 5-10-1 OS=Homo sapiens OX=9606 GN=IGHV5-10-1 PE=3 SV=1	12048000	13778300	2484030	NA	NA	212666
>tr|A0A1W2PR82|A0A1W2PR82_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC105371045 PE=4 SV=1	NA	NA	NA	NA	NA	96275.4
>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	NA	NA	754161	962532	1751650	732758
>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	NA	NA	NA	NA	NA	60768.4
>sp|A1A5D9|BICL2_HUMAN BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=2	NA	NA	NA	NA	NA	NA
>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	NA	NA	17572.4	19034.3	NA	25400.9
>sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1	NA	NA	NA	NA	271086	367840
>sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	NA	NA	NA	3967610	NA	NA
>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	NA	NA	NA	NA	NA	NA
>sp|A8K2U0|A2ML1_HUMAN Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3	3009570	2364200	5155080	6140610	6053250	7989480
>ACTODO_00405 chaperonin GroL [Actinomyces odontolyticus ATCC 17982]	NA	NA	20866400	NA	NA	NA
>ACTODO_00482 phosphoenolpyruvate carboxykinase (GTP) [Actinomyces odontolyticus ATCC 17982]	NA	NA	19346700	2073590	NA	NA
>ACTODO_01368 pyruvate kinase [Actinomyces odontolyticus ATCC 17982]	NA	NA	22115200	NA	NA	NA
>ATORI0001_0010 phosphoribosylformylglycinamidine synthase [Atopobium rimae ATCC 49626]	NA	NA	NA	231245	NA	NA
>ATORI0001_0166 efflux ABC transporter, permease protein [Atopobium rimae ATCC 49626]	NA	NA	NA	NA	NA	NA
>ATORI0001_1053 chaperonin GroL [Atopobium rimae ATCC 49626]	NA	NA	20866400	1639280	NA	NA
>ATORI0001_1542 glutamate synthase (NADPH), homotetrameric [Atopobium rimae ATCC 49626]	5447910	6377460	11588100	7970010	NA	NA
>sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2	NA	NA	NA	281850	57864.8	384762
>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2	80080700	123589000	20804700	16499400	54571900	19657000
>CAMGR0001_0335 ABC transporter, ATP-binding protein [Campylobacter gracilis RM3268]	NA	NA	NA	NA	NA	29120700
>CAMGR0001_1544 fibronectin type III domain protein [Campylobacter gracilis RM3268]	NA	NA	NA	NA	NA	NA
>CAMGR0001_1947 efflux transporter, outer membrane factor lipoprotein, NodT family [Campylobacter gracilis RM3268]	NA	NA	NA	NA	NA	1499820
>CAMGR0001_2017 glycosyltransferase, group 1 family protein [Campylobacter gracilis RM3268]	NA	NA	NA	NA	NA	NA
>CAMGR0001_2600 ATP synthase F1, beta subunit [Campylobacter gracilis RM3268]	NA	NA	641306	NA	NA	NA
>CAMGR0001_2685 NADH dehydrogenase subunit D [Campylobacter gracilis RM3268]	NA	460847	3338370	4020590	9874070	5398810
>CAMGR0001_2780 hypothetical protein [Campylobacter gracilis RM3268]	NA	578376000	460179000	254255000	238656000	250160000
>CAMRE0001_0277 hypothetical protein [Campylobacter rectus RM3267]	NA	NA	460179000	NA	238656000	NA
>CAMRE0001_0384 hypothetical protein [Campylobacter rectus RM3267]	NA	578376000	NA	NA	NA	NA
>CAMRE0001_0886 hypothetical protein [Campylobacter rectus RM3267]	623732000	578376000	460179000	254255000	NA	NA
>CAMRE0001_1291 hypothetical protein [Campylobacter rectus RM3267]	NA	NA	NA	NA	238656000	NA
>CAMRE0001_1933 carbamoyl-phosphate synthase, large subunit [Campylobacter rectus RM3267]	614884000	689678000	22873400	4696930	1772770	NA
>CAMRE0001_2008 hypothetical protein [Campylobacter rectus RM3267]	NA	578376000	NA	254255000	238656000	250160000
>CAMRE0001_2057 amino acid carrier protein [Campylobacter rectus RM3267]	NA	NA	NA	NA	NA	NA
>CAMRE0001_2110 periplasmic binding protein [Campylobacter rectus RM3267]	NA	NA	NA	NA	NA	NA
>CAMSH0001_0297 type II/IV secretion system protein [Campylobacter showae RM3277]	NA	NA	NA	NA	NA	NA
>CAMSH0001_0942 hypothetical protein [Campylobacter showae RM3277]	623732000	578376000	460179000	254255000	238656000	250160000
>CAMSH0001_2260 hypothetical protein [Campylobacter showae RM3277]	NA	NA	NA	254255000	NA	NA
>CAPGI0001_0174 nitroreductase family protein [Capnocytophaga gingivalis ATCC 33624]	NA	NA	NA	NA	1192440	9905060
>CAPGI0001_1004 hypothetical protein [Capnocytophaga gingivalis ATCC 33624]	NA	NA	NA	NA	NA	NA
>CAPGI0001_1490 outer membrane insertion signal domain protein [Capnocytophaga gingivalis ATCC 33624]	27436200	38347500	NA	25010900	21312900	16083100
>CAPGI0001_1931 O-succinylbenzoic acid--CoA ligase [Capnocytophaga gingivalis ATCC 33624]	NA	NA	NA	NA	295079	NA
>CAPGI0001_2122 ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein [Capnocytophaga gingivalis ATCC 33624]	NA	NA	NA	NA	NA	NA
>CAPGI0001_2339 Mg chelatase-like protein [Capnocytophaga gingivalis ATCC 33624]	NA	NA	NA	1981330	1821380	NA
>CAPGI0001_2383 hypothetical protein [Capnocytophaga gingivalis ATCC 33624]	623732000	578376000	460179000	254255000	238656000	250160000
>CAPSP0001_0087 aconitate hydratase [Capnocytophaga sputigena ATCC 33612]	10015700	8039120	6779180	1621380	345824	5672930
>CAPSP0001_0686 DNA polymerase III, alpha subunit [Capnocytophaga sputigena ATCC 33612]	NA	NA	NA	NA	NA	NA
>CAPSP0001_0806 TonB-linked outer membrane protein, SusC/RagA family [Capnocytophaga sputigena ATCC 33612]	253968	637527	1773020	144341	NA	NA
>CAPSP0001_1077 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	NA	NA	NA	NA	NA	250160000
>CAPSP0001_1565 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	623732000	578376000	460179000	254255000	238656000	250160000
>CAPSP0001_1794 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	NA	578376000	460179000	254255000	NA	250160000
>CON_P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	228124000	215509000	65304300	738529000	1551350000	260655000
>CON_P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha	7277540000	2978820000	2744630000	833199000	160641000	88380300
>CON_P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10	NA	NA	NA	NA	94956.8	NA
>CON_P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	NA	NA	NA	NA	260951	NA
>CON_P02666 SWISS-PROT:P02666 Beta-casein - Bos taurus (Bovine).	NA	NA	1946720	362551	2126030	348396
>CON_P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	NA	NA	NA	NA	NA	NA
>CON_P08727 SWISS-PROT:P08727 Tax_Id=9606 Gene_Symbol=KRT19 Keratin, type I cytoskeletal 19	NA	NA	NA	NA	NA	NA
>CON_P08730-1 SWISS-PROT:P08730-1 Tax_Id=10090 Gene_Symbol=Krt13 Isoform 1 of Keratin, type I cytoskeletal 13	NA	NA	NA	NA	785968	NA
>CON_P13646-1 SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13	83816700	81383700	190255000	95199800	268482000	274953000
>CON_P15636 SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.	172723000	155535000	83019900	620171000	3476700000	477556000
>CON_P19012 SWISS-PROT:P19012 Tax_Id=9606 Gene_Symbol=KRT15 Keratin, type I cytoskeletal 15	NA	NA	NA	NA	34028.1	192233
>CON_P50446 SWISS-PROT:P50446 Tax_Id=10090 Gene_Symbol=Krt6a Keratin, type II cytoskeletal 6A	5439860	6447400	16311300	NA	18182600	58788700
>CON_Q01546 SWISS-PROT:Q01546 Tax_Id=9606 Gene_Symbol=KRT76 Keratin, type II cytoskeletal 2 oral	6200320	8449250	7533700	NA	5694890	15931400
