ID	feature_category
>sp|A0A075B6H9|LV469_HUMAN Immunoglobulin lambda variable 4-69 OS=Homo sapiens OX=9606 GN=IGLV4-69 PE=1 SV=1	human
>sp|A0A075B6I0|LV861_HUMAN Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=3 SV=7	human
>sp|A0A075B6I1|LV460_HUMAN Immunoglobulin lambda variable 4-60 OS=Homo sapiens OX=9606 GN=IGLV4-60 PE=3 SV=1	human
>tr|A0A075B7B8|A0A075B7B8_HUMAN Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-12 PE=1 SV=1	human
>tr|A0A075B7D0|A0A075B7D0_HUMAN Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV1OR15-1 PE=1 SV=1	human
>sp|A0A087WSY6|KVD15_HUMAN Immunoglobulin kappa variable 3D-15 OS=Homo sapiens OX=9606 GN=IGKV3D-15 PE=3 SV=6	human
>sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1	human
>tr|A0A0A0MT96|A0A0A0MT96_HUMAN Immunoglobulin kappa joining 3 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ3 PE=4 SV=1	human
>sp|A0A0B4J1U7|HV601_HUMAN Immunoglobulin heavy variable 6-1 OS=Homo sapiens OX=9606 GN=IGHV6-1 PE=3 SV=1	human
>sp|A0A0B4J1Y8|LV949_HUMAN Immunoglobulin lambda variable 9-49 OS=Homo sapiens OX=9606 GN=IGLV9-49 PE=1 SV=1	human
>sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1	human
>sp|A0A0C4DH25|KVD20_HUMAN Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	human
>sp|A0A0C4DH31|HV118_HUMAN Immunoglobulin heavy variable 1-18 OS=Homo sapiens OX=9606 GN=IGHV1-18 PE=3 SV=1	human
>sp|A0A0C4DH34|HV428_HUMAN Immunoglobulin heavy variable 4-28 OS=Homo sapiens OX=9606 GN=IGHV4-28 PE=3 SV=1	human
>tr|A0A0C4DH35|A0A0C4DH35_HUMAN Immunoglobulin heavy variable 3-35 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3-35 PE=1 SV=1	human
>sp|A0A0J9YX35|HV64D_HUMAN Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=3 SV=1	human
>sp|A0A0J9YXX1|HV5X1_HUMAN Immunoglobulin heavy variable 5-10-1 OS=Homo sapiens OX=9606 GN=IGHV5-10-1 PE=3 SV=1	human
>tr|A0A1W2PR82|A0A1W2PR82_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC105371045 PE=4 SV=1	human
>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	human
>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	human
>sp|A1A5D9|BICL2_HUMAN BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=2	human
>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	human
>sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1	human
>sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	human
>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	human
>sp|A8K2U0|A2ML1_HUMAN Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3	human
>ACTODO_00405 chaperonin GroL [Actinomyces odontolyticus ATCC 17982]	bacteria
>ACTODO_00482 phosphoenolpyruvate carboxykinase (GTP) [Actinomyces odontolyticus ATCC 17982]	bacteria
>ACTODO_01368 pyruvate kinase [Actinomyces odontolyticus ATCC 17982]	bacteria
>ATORI0001_0010 phosphoribosylformylglycinamidine synthase [Atopobium rimae ATCC 49626]	bacteria
>ATORI0001_0166 efflux ABC transporter, permease protein [Atopobium rimae ATCC 49626]	bacteria
>ATORI0001_1053 chaperonin GroL [Atopobium rimae ATCC 49626]	bacteria
>ATORI0001_1542 glutamate synthase (NADPH), homotetrameric [Atopobium rimae ATCC 49626]	bacteria
>sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2	human
>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2	human
>CAMGR0001_0335 ABC transporter, ATP-binding protein [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_1544 fibronectin type III domain protein [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_1947 efflux transporter, outer membrane factor lipoprotein, NodT family [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_2017 glycosyltransferase, group 1 family protein [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_2600 ATP synthase F1, beta subunit [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_2685 NADH dehydrogenase subunit D [Campylobacter gracilis RM3268]	bacteria
>CAMGR0001_2780 hypothetical protein [Campylobacter gracilis RM3268]	bacteria
